iso2c,country,year,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
1W,World,2005,6511895791,4.52863727345848,8918.63297060054,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2006,6592918088,4.63650717208789,9194.64825366952,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1998,5954092157,4.05001994664289,7779.02330575303,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1999,6034566869,3.9868954180612,7924.22554278905,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2000,6114392554,4.03799899694828,8163.600008056,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2001,6193746234,4.0809923501945,8216.13081826709,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2015,7339663503,NA,10330.0294567996,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2011,7003287866,4.97587728318007,9726.6047357363,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2012,7086250251,5.00559389572707,9853.78165896384,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1996,5789732873,4.07126843173098,7523.61601244718,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1997,5872353084,4.08269172596639,7690.92361498789,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2009,6839890319,4.66263309974576,9258.44118072322,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2010,6922242284,4.83548171628833,9541.59737315667,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2013,7170197835,4.99813140790417,9997.01791522521,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2014,7254854126,4.9812559111957,10160.476754974,WLD,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1997,1759761226,2.42056179491822,1617.17942651061,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1998,1779799008,2.25643968256353,1626.90614888127,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1999,1798649990,2.2511813824874,1708.22653844128,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2000,1816466142,2.31068209285424,1818.40850821351,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2001,1833433229,2.36834588843179,1922.41849564809,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2002,1849617640,2.56095967096215,2055.32789380702,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2011,1980045666,5.64237220116144,4308.90479451067,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2012,1994401378,5.77394812651684,4599.15115969597,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1996,1738960485,2.41643839569238,1529.04885321247,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2010,1965964309,5.10673874338129,4001.02014400394,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2015,2038202511,NA,5486.69261023634,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2003,1865142700,2.94266720744175,2216.02634834263,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2013,2008932012,5.79115436227659,4895.07813740258,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2014,2023609315,5.77612844555788,5188.70928302453,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2006,1909901290,3.96618583872393,2864.07416040481,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2007,1924028068,4.22174614605994,3188.70007699829,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2008,1938067140,4.50334620424589,3432.51836557859,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2009,1952027348,4.72705846119324,3670.50872059856,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),1995,1717912312,2.3264992262532602,1420.76410674143,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2004,1880258797,3.32240831031778,2394.25845518524,EAP,Aggregates,,,,Aggregates,Aggregates
4E,East Asia & Pacific (excluding high income),2005,1895285323,3.66195830910484,2605.74664382669,EAP,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2015,410124886,NA,8933.72634437813,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2003,391171896,7.23401945161828,5680.75843624216,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2006,392511755,7.62275260802974,7119.41839737514,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2007,393215556,7.71847453583412,7653.36109316593,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2004,391535183,7.31040854010908,6151.81630377296,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2005,391951910,7.35113663960136,6591.52577034342,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1997,391288396,6.86385733249799,4539.47911213828,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1998,391525568,6.7558012831688,4461.32288364571,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1999,391494440,6.78313294756013,4553.59685509822,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2000,391585675,6.87799412733588,4916.83167675832,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2001,391336348,6.88352460334718,5048.36890994669,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2002,391008420,6.93113406983321,5329.36612216056,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2010,398082580,7.57154680088594,7803.20124655047,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1995,390571027,7.51611466562541,4429.6961696598,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),1996,390931357,7.34086931105744,4424.2840686454,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2009,396042136,7.10074545479376,7464.6900307787,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2014,407578609,7.43380866211499,8914.82813983639,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2011,400312584,7.89984027608803,8228.42021608395,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2012,402565808,8.01462487603787,8485.18822134683,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2013,405078322,7.74729960237901,8773.24172886242,ECA,Aggregates,,,,Aggregates,Aggregates
7E,Europe & Central Asia (excluding high income),2008,394289675,7.83815577585239,7969.96552933121,ECA,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1996,1287476190,0.786125348850141,702.032057223422,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1997,1313346377,0.799239841356794,714.441330692952,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1998,1339202708,0.798783908223698,740.103100642955,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1995,1261587756,0.736011480441159,670.232023325809,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2008,1592010819,1.1294283245697,1121.83321385728,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2009,1615610198,1.22354370654944,1184.31022611739,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2010,1638792934,1.20163462823425,1257.49943946424,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,1999,1365067928,0.831352151583185,782.890840457928,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2012,1683747130,1.35654512325731,1357.6055746495,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2000,1390946064,0.849134552064127,799.540792553951,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2001,1416822959,0.845037242228935,818.918089682144,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2011,1661534412,1.26496189595621,1304.00875135792,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2003,1468324422,0.865043474023209,879.299311510124,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2004,1493757846,0.897414212477382,929.688156031833,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2005,1518861552,0.932401023737284,984.895667720852,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2006,1543610696,0.97866363514755,1044.16126626287,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2007,1568003159,1.03909193591108,1103.28858485832,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2015,1749417068,NA,1594.05864222896,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2013,1705772050,1.35008778341748,1421.65402480844,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2002,1442644058,0.844154426205664,834.202820466791,SAS,Aggregates,,,,Aggregates,Aggregates
8S,South Asia,2014,1727640967,1.45657274518659,1501.81061405968,SAS,Aggregates,,,,Aggregates,Aggregates
AD,Andorra,2015,78011,NA,41767.5265081665,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2004,76244,7.35862494097896,47032.8668884706,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2001,67341,7.78695000074249,41420.8461776969,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2002,70049,7.59061514082999,42396.3023980284,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2014,79213,5.83290621488897,40790.198010639,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1995,63850,6.66205168363352,32917.6488213571,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1996,64360,7.06507147296457,34175.2600684125,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1997,64327,7.23971271783233,37293.2824132908,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2003,73182,7.31576070618458,45519.4923839434,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1999,64370,7.97545440422557,40035.4824490851,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2000,65390,8.01928429423459,40801.5421300322,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2005,78867,7.29987193629782,48831.9293599384,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1998,64142,7.66078388575348,38595.7232096964,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2008,83862,6.42780997352794,43900.4282124681,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2009,84463,6.12157986337213,41979.3688806202,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2010,84449,6.12259470212791,39736.3540626699,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2011,83747,5.8674101758869,38207.5959074045,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2012,82427,5.91688403071809,38192.4398900703,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2013,80774,5.90177532374279,39111.0795278003,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2007,82684,6.51938706400271,48710.0755019137,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2006,80993,6.74605212796168,49707.17301531,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AE,United Arab Emirates,1996,2539126,16.1706819590678,63076.6064636338,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1997,2671362,15.5898448057583,64864.720318444,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1995,2415090,29.2498780583746,62681.6090675803,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2008,7089487,22.1954898852343,42456.7958854415,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2009,7917372,21.214059538948,36024.0582294666,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1998,2813214,28.9687908562946,61773.8673566819,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2007,6168838,21.9859334934715,47283.9032785234,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1999,2966034,26.4241040392659,60291.5089875618,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2000,3134062,35.9157642701389,63251.5229870394,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2010,8549988,18.8085197312558,33893.303514039,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2011,8946777,18.4916168135184,34634.8621429885,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2003,3711932,28.7833160736781,60351.1400473437,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2004,4068570,27.8330290495186,60328.3205264375,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2005,4588225,25.3144861030137,56092.9202185986,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2006,5300174,23.3718604332612,53335.0315740292,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2002,3478777,24.3487964304697,59187.2069291283,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2014,9214175,22.9396063130991,38495.0463535702,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2015,9262900,NA,40247.7471423171,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2001,3302719,30.7063822262808,60861.2659986951,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2012,9141596,19.2949203837054,35416.8917844949,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2013,9197910,18.5592361743048,36978.8330410358,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AF,Afghanistan,2014,33370794,0.293946407148718,583.656192833121,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2015,34413603,NA,574.184114271258,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2012,31161376,0.345148782903553,576.190125450699,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2013,32269589,0.310341014879365,587.565090150176,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2003,23680871,0.0504813357583004,343.080889714587,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1995,18110657,0.0686398621540897,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2001,21606988,0.0378461357038751,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2002,22600770,0.0473773238699389,330.303552908057,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1998,19737765,0.0527632181252538,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1999,20170844,0.0407225399194997,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1996,18853437,0.0624346107290676,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1997,19357126,0.0566423445298646,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2006,26433049,0.0624275315344817,365.284494951006,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2007,27100536,0.0838928056625891,405.548979051796,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2000,20779953,0.0372347810411313,NA,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2009,28394813,0.238398541311049,488.300250990155,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2010,29185507,0.289987629819143,543.303041863931,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2011,30117413,0.406424217113203,528.736648057768,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2008,27722276,0.151720912092499,412.014286663305,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2004,24726684,0.0384100431744103,333.216684486798,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2005,25654277,0.0517439645638815,357.234719908026,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AG,Antigua and Barbuda,1995,68670,4.00502402795981,11201.7401347059,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2006,82704,5.36500048365254,15653.3747162831,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2007,84026,5.5860804988932,16833.7045173582,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1996,70173,4.18052527325325,11685.82371555,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1997,71704,4.29582728996988,12062.0075991371,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2010,88028,5.95697959740083,13049.2570545735,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1998,73224,4.35689118321862,12370.4666561761,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2008,85397,5.62522102649976,16558.4579093215,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2009,86746,5.8759251147027,14327.3108496645,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2001,77212,4.51179868414236,12337.6049119586,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2002,78295,4.73040424037295,12291.5492619209,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2003,79300,5.08663303909205,12870.947706353,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2004,80336,5.24926558454491,13433.7813762756,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2005,81465,5.26654391456454,14097.096665718,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2013,91516,5.72993793435028,12644.6890235017,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2014,92562,5.74441995635358,12976.3314609289,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,1999,74674,4.41961057396149,12580.0374687348,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2000,76016,4.53454535887182,13184.9092406389,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2012,90409,5.80009733544227,12876.8892883551,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2015,93566,NA,13328.1466479391,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AG,Antigua and Barbuda,2011,89253,5.75196351943352,12618.0791316619,ATG,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
AL,Albania,2011,2905195,1.80371472482914,4209.88695135201,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2010,2913021,1.57857358391855,4094.36211924475,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2015,2880703,NA,4524.38610843611,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2012,2900401,1.692908325435,4276.62018013047,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2013,2895092,1.74921107861166,4327.39244877721,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2014,2889104,1.97876331208568,4413.30962743377,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1997,3148281,0.490365059535664,1676.13193150228,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1998,3128530,0.560271437384331,1835.65196486823,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1995,3187784,0.654537133005248,1703.28674733473,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1996,3168033,0.636625312930768,1869.87125520675,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2001,3060173,1.05330417594038,2453.63147595272,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2002,3051010,1.22954070946998,2572.72883727414,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1999,3108778,0.960164411868586,2085.43199967837,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2000,3089027,0.978174680894664,2244.63109245948,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2004,3026939,1.37621273504355,2887.37865319206,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2005,3011487,1.41249821101668,3062.68269833158,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2006,2992547,1.30257636722163,3263.91110765176,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2007,2970017,1.32233485532238,3485.33244119722,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2008,2947314,1.48431113888781,3775.59218159904,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2009,2927519,1.49560019934969,3928.46173167434,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2003,3039616,1.4126971959616,2725.17923301769,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AM,Armenia,2003,3017932,1.13609087282285,2019.90053213589,ARM,Europe & Central Asia,Yerevan,44.509,40.1596,Upper middle income,IBRD
