lemma,n
ray,2
reach,2
read,2
reckon,2
redder,2
return,2
rifle,2
rise,2
rocker,2
running,2
rush,2
s,2
schedule,2
scrawny,2
screech,2
scruff,2
search,2
security,2
seize,2
self,2
serpent,2
session,2
shack,2
shoe,2
shortcut,2
shut,2
sickening,2
Sickle,2
Sickles,2
sideway,2
sigh,2
slip,2
Smeltings,2
snap,2
sneer,2
sniff,2
snowball,2
Snowy,2
snuffbox,2
sob,2
somehow,2
speak,2
spectacle,2
speech,2
speeding,2
Spells,2
Spinnet,2
spirit,2
spray,2
squeak,2
squeal,2
staff,2
staffroom,2
stalactite,2
stalagmite,2
state,2
stitch,2
stoat,2
strawberry,2
stream,2
string,2
strode,2
struck,2
stunned,2
stutter,2
substance,2
surprisis,2
Susan,2
sweat,2
tapestry,2
terror,2
Terry,2
thank,2
thief,2
think,2
thud,2
Thursday,2
tight,2
toothless,2
torch,2
towers,2
toy,2
treasure,2
trifle,2
triumph,2
try,2
tuft,2
tunnel,2
Twentieth,2
twinkling,2
tyke,2
type,2
Unicorn,2
upright,2
vacation,2
victory,2
walk,2
walking,2
walnut,2
Wands,2
Warlock,2
wash,2
wasn,2
wastepaper,2
wax,2
West,2
whirl,2
whisker,2
who,2
wig,2
windowsill,2
wish,2
witchcraft,2
WITCHCRAFT,2
wizarding,2
WIZARDRY,2
wolfsbane,2
wooden,2
wormwood,2
wristwatch,2
yelp,2
Yer,2
Yew,2
yours,2
zombie,2
-o,1
-pocus,1
'Course,1
'em,1
'ey,1
'f,1
'm,1
'Oh,1
's,1
'un,1
Abbott,1
abou,1
accidents,1
account,1
accountant,1
aconite,1
Adalbert,1
admiral,1
admirer,1
Adrian,1
affair,1
Africa,1
Ages,1
agony,1
Aha,1
Alberic,1
ALBUS,1
alchemist,1
Alicia,1
alien,1
alternative,1
always,1
amber,1
amount,1
angel,1
Anne,1
anti,1
anti-Dark,1
anxiety,1
anytime,1
Argus,1
arrangement,1
Arsenius,1
askew,1
assistant,1
astonishment,1
Astronomy,1
Atta,1
audience,1
August,1
awe,1
B.C,1
background,1
backpack,1
backward,1
badger,1
Bagshot,1
bake,1
baker,1
bakery,1
baking,1
bald,1
banana,1
band,1
bandage,1
barber,1
bare,1
Barking,1
Baruffio,1
baseball,1
basic,1
basketball,1
bath,1
Bathilda,1
beach,1
bear,1
beastie,1
beasts,1
Beasts,1
Beater,1
beating,1
beauty,1
bedspread,1
beech,1
Beechwood,1
beginning,1
beginnr,1
behavior,1
being,1
belt,1
berserk,1
Bertie,1
bicycle,1
bid,1
bidden,1
Bill,1
billowing,1
bind,1
Bind,1
birdcage,1
black,1
Black,1
blackboard,1
blackness,1
Blackpool,1
Blacks,1
Blaise,1
blast,1
blazing,1
Bletchley,1
blinding,1
blister,1
blob,1
Blocks,1
bloke,1
Blood,1
bloodiness,1
Blotts,1
blow,1
blowing,1
Blubber,1
bluebell,1
blur,1
Boa,1
boater,1
boats,1
bodyguard,1
Bogies,1
Bogy,1
bonus,1
boom,1
BOOM,1
boredom,1
bossy,1
boulder,1
bow,1
bowler,1
bowling,1
Boy,1
brand,1
braver,1
bread,1
breat,1
brew,1
bridge,1
briefcase,1
Bright,1
brim,1
Bristol,1
Brocklehurst,1
broomshed,1
BROOMSTICKS,1
bucking,1
buffalo,1
build,1
bull,1
Bulstrode,1
bus,1
bushy,1
bustling,1
butter,1
buy,1
buzz,1
Bye,1
C'mon,1
cackle,1
cakes,1
calm,1
can,1
canary,1
candlelight,1
cane,1
cannonball,1
cap,1
capture,1
Caput,1
careless,1
carousel,1
carpet,1
carpets,1
carriage,1
carrot,1
cartoon,1
catch,1
caughty,1
Cauldron,1
cauldrons,1
cei,1
celebration,1
celebrity,1
center,1
cereal,1
ceremony,1
chain,1
chappie,1
chase,1
chasin,1
chattering,1
cheating,1
checkup,1
cheering,1
cheery,1
chessboard,1
chessmen,1
chestnut,1
Chf.,1
childhood,1
chilly,1
chipolata,1
chivalry,1
chuckle,1
cigarette,1
cinema,1
Circe,1
circle,1
circus,1
city,1
clanging,1
clapping,1
clattering,1
Cleansweep,1
cleverness,1
click,1
clinking,1
Cliodna,1
close,1
cloth,1
clouds,1
cloudy,1
clung,1
coal,1
coast,1
cobras,1
cock,1
code,1
coffee,1
coil,1
Cokeworth,1
Collapsible,1
collar,1
collecting,1
column,1
combination,1
Comet,1
Comets,1
comfort,1
commentary,1
common,1
concrete,1
conduct,1
conductor,1
Confed,1
Conk,1
Constrictor,1
convention,1
Copper,1
copy,1
Copyin,1
core,1
cork,1
Cornelius,1
cornflake,1
Corridor,1
cost,1
coulda,1
council,1
Countercurse,1
cover,1
cow,1
coward,1
cozy,1
crackpot,1
cranberry,1
crashing,1
creams,1
credit,1
creeper,1
creepy,1
crisis,1
Cross,1
crowds,1
crown,1
crumpet,1
crush,1
crutch,1
cry,1
crybaby,1
cryin,1
Cupboard,1
currently,1
curry,1
Curs,1
cursing,1
cushion,1
customer,1
cutting,1
d'yeh,1
daddy,1
daily,1
dairy,1
daisy,1
damn,1
dancing,1
dar,1
darkly,1
Darling,1
daughter,1
dazed,1
deafening,1
dealer,1
debt,1
demand,1
Dennis,1
dentist,1
deputy,1
desert,1
desktop,1
destiny,1
Devon,1
dial,1
dife,1
difficult,1
din,1
dining,1
Dinky,1
dirt,1
disappointment,1
disapproving,1
discoveries,1
Discoveries,1
discussion,1
dish,1
Dittany,1
dium,1
diversion,1
dividing,1
Doi,1
dolphin,1
donkey,1
doom,1
doorbell,1
doorpost,1
dormice,1
dot,1
downfall,1
downpour,1
downright,1
Draconis,1
draft,1
drafty,1
drag,1
Dragon,1
drain,1
Draught,1
drawback,1
drawing,1
drawl,1
drawling,1
dreadlock,1
drearn,1
dress,1
drip,1
driveway,1
drone,1
Drooble,1
drool,1
druidess,1
drunk,1
dry,1
Duck,1
dud,1
Duddy,1
Duddydums,1
Dudleykins,1
DUEL,1
duffer,1
Duld,1
Dundee,1
dusk,1
duster,1
dusty,1
duty,1
e,1
eager,1
earmuff,1
Easter,1
echoe,1
eclair,1
eel,1
effect,1
eight,1
elbow,1
element,1
eleven,1
eleventh,1
Elfric,1
em,1
ember,1
Enid,1
enter,1
Erise,1
ERISED,1
Erm,1
escape,1
Eve,1
even,1
evene,1
Every,1
everything,1
exasperation,1
except,1
Excitement,1
existence,1
exit,1
experience,1
expert,1
explosion,1
eyeglass,1
eyes,1
fading,1
famous,1
fan,1
fanatic,1
Fancy,1
fantastic,1
fashion,1
fastening,1
Father,1
favors,1
feathers,1
feed,1
feelings,1
feet,1
fence,1
Fer,1
Festoon,1
fie,1
Fifteen,1
fifty,1
finch,1
find,1
fine,1
fingertip,1
fir,1
firelight,1
firsthand,1
Firsties,1
Firsty,1
Fitch,1
flail,1
FLAMEL,1
flank,1
flap,1
Fletchley,1
flick,1
flimsy,1
Flitwicles,1
flock,1
Flock,1
flop,1
flourish,1
flow,1
fluff,1
FLUMP,1
foghorn,1
fold,1
foolish,1
football,1
footfall,1
Forge,1
forget,1
Forgetfulness,1
form,1
four,1
fourth,1
freak,1
freedom,1
Friends,1
friendship,1
fright,1
frightenin,1
from,1
Front,1
frost,1
frown,1
fruitcake,1
fry,1
Fudge,1
fuller,1
fume,1
funeral,1
fungi,1
fur,1
furniture,1
furor,1
fussing,1
G.,1
G',1
gale,1
Gallopin',1
galosh,1
gangl,1
gaps,1
gar,1
garage,1
gargoyle,1
gate,1
gaunt,1
gaze,1
gentleman,1
geroff,1
get,1
getup,1
git,1
Glass,1
gleam,1
glider,1
glimpse,1
glitter,1
glittery,1
glob,1
Gloom,1
gloomy,1
glue,1
goat,1
Goblins,1
Godric,1
goose,1
Gordon,1
Gorgons,1
gorilla,1
Goshawk,1
gotta,1
Gotta,1
gown,1
grab,1
Gran,1
Grand,1
granite,1
grasp,1
grassy,1
great,1
Gred,1
greek,1
Green,1
greener,1
greenhous,1
greenhouse,1
greeting,1
Gregory,1
grief,1
griffin,1
groan,1
grow,1
Grunnion,1
Grunt,1
grunting,1
GRYFFINDOR,1
guardin,1
guess,1
Guide,1
guilty,1
Gulpin,1
Gum,1
gun,1
gym,1
haaa,1
Haaaaaa,1
hag,1
Hags,1
hairs,1
handsome,1
hanger,1
hanging,1
hangings,1
happiness,1
harder,1
harness,1
Harold,1
harp,1
Harvey,1
hatred,1
have,1
headlight,1
Headmaster,1
HEADMASTER,1
headmistress,1
Headmistress,1
health,1
Heap,1
Hebridean,1
hedge,1
helicopter,1
hem,1
Hengist,1
Hermio,1
hide,1
highsecurity,1
highway,1
hill,1
hint,1
hissing,1
hitch,1
hoarse,1
hobby,1
Hog,1
Hoggy,1
HOGWARTS,1
Hollow,1
holly,1
hood,1
hoodlum,1
hoof,1
hooting,1
horns,1
Hotel,1
hourglass,1
how,1
Howard,1
humans,1
Humberto,1
humor,1
hungry,1
husband,1
hush,1
Hut,1
I,1
icicle,1
icing,1
id,1
image,1
imagine,1
improvement,1
indeed,1
Inferno,1
information,1
inscription,1
inspector,1
instinct,1
instruction,1
instrument,1
insult,1
International,1
investigation,1
Ireland,1
Isle,1
ivy,1
javelin,1
jealousy,1
jeans,1
Jell,1
Jelly,1
jerk,1
jig,1
Jigger,1
jinx,1
jot,1
joy,1
Jupiter,1
jus,1
Jus,1
Justin,1
Katie,1
keen,1
keeper,1
kick,1
kidney,1
killer,1
killin,1
kiss,1
kit,1
knew,1
knock,1
knot,1
knowin,1
knowledge,1
lace,1
lamb,1
lamps,1
lane,1
language,1
lantern,1
las,1
latest,1
Lavender,1
leader,1
leafe,1
league,1
learn,1
lecture,1
ledger,1
legend,1
legs,1
Levi,1
ley,1
liar,1
librarian,1
Licorice,1
lift,1
lighter,1
lights,1
liking,1
linen,1
lionfish,1
liquid,1
Lisa,1
littie,1
Little,1
Living,1
lizard,1
Locomotor,1
loop,1
loops,1
loss,1
lots,1
lotta,1
loud,1
love,1
lover,1
low,1
loyalty,1
luggage,1
lullaby,1
lurch,1
lus,1
m,1
MacDougal,1
mad,1
Majorca,1
maker,1
Maker,1
malade,1
Malcolm,1
Malfoys,1
Man,1
manage,1
Mandy,1
maniac,1
manner,1
mantelpiece,1
maple,1
mar,1
march,1
maroon,1
marshmallow,1
material,1
math,1
mattress,1
mauve,1
maze,1
McGuffin,1
McKinnons,1
means,1
meantime,1
meddlin,1
meet,1
meeting,1
mellow,1
member,1
meringue,1
mess,1
message,1
messin,1
meter,1
mid-December,1
midst,1
might,1
milk,1
milkman,1
Millicent,1
Mimblewimble,1
Minerva,1
Minister,1
minuscule,1
Miranda,1
mist,1
mistaking,1
Misters,1
mistletoe,1
mix,1
mm,1
model,1
moldy,1
moments,1
monk,1
monster,1
Moon,1
Morag,1
Mortis,1
mossy,1
moth,1
motion,1
Motorcycle,1
motorcycles,1
mound,1
mouthed,1
mouths,1
movie,1
mud,1
muffin,1
mug,1
Mugwump,1
mule,1
multilevel,1
murmur,1
muscle,1
must,1
mystery,1
N,1
named,1
nation,1
nerf,1
net,1
nettle,1
newscaster,1
Newt,1
NICOLAS,1
Nitwin,1
nonstop,1
nor,1
Nor,1
norwegian,1
nosebleed,1
nosie,1
nothing,1
Nott,1
November,1
nurse,1
oaf,1
old,1
oman,1
opening,1
opera,1
Order,1
OUCH,1
outline,1
outrage,1
outskirt,1
own,1
Paddington,1
paint,1
painting,1
paisley,1
palace,1
paler,1
palm,1
palomino,1
pan,1
panel,1
Pansy,1
Paracelsus,1
pARCEl,1
park,1
parrot,1
pass,1
passersby,1
Passersby,1
past,1
Pasties,1
patchwork,1
pate,1
patient,1
pattern,1
pavement,1
pawn,1
pebble,1
peculiar,1
peel,1
Peevsie,1
pellet,1
pep,1
percent,1
Perks,1
Petrificus,1
Petrify,1
pheasant,1
phial,1
phoenix,1
phoenixe,1
phone,1
Phyllida,1
pick,1
pier,1
pigtail,1
pineapple,1
pinprick,1
pity,1
plat,1
platter,1
playr,1
pleasure,1
plenty,1
pocuss,1
pointy,1
pole,1
polite,1
politer,1
poltergeist,1
Poltergeist,1
Pomftey,1
porcupine,1
pork,1
Porpington,1
position,1
postman,1
Potatoes,1
potionmaking,1
pouch,1
powder,1
powr,1
Prewetts,1
price,1
prickle,1
prince,1
processor,1
profit,1
proof,1
Protection,1
prowling,1
prune,1
Ptolemy,1
puddin,1
puff,1
puffing,1
punching,1
puppet,1
puzzle,1
puzzlement,1
python,1
Quarter,1
QUARTERS,1
quaver,1
queasy,1
Quentin,1
quicker,1
QUIDDITCh,1
quiet,1
quilt,1
Quirtell,1
quiver,1
quiz,1
radish,1
rag,1
Railview,1
railway,1
rainbow,1
raisin,1
random,1
rapp,1
raspberry,1
rasping,1
rattle,1
ravine,1
readin,1
reading,1
rear,1
rebellions,1
receiver,1
red,1
Rejoice,1
relation,1
relative,1
remains,1
reminding,1
remorse,1
reply,1
reserve,1
resolution,1
respect,1
restless,1
revenge,1
Revenge,1
reward,1
ribbon,1
rice,1
rider,1
riffraff,1
rigid,1
ring,1
rip,1
risk,1
rivers,1
Robes,1
rocket,1
rolling,1
Ronnie,1
Ronniekins,1
Ropes,1
rot,1
round,1
route,1
rowboat,1
rubber,1
ruby,1
ruddy,1
rug,1
ruin,1
rulebreaking,1
rumbling,1
rummage,1
sa,1
sacrifice,1
sadness,1
safety,1
Sahara,1
saint,1
saliva,1
