year,state,month,month_name,unemployment,date,region,division
2010,Arizona,9,September,10.1,2010-09-01,West,Mountain
2010,Arizona,8,August,10.2,2010-08-01,West,Mountain
2010,Arizona,7,July,10.2,2010-07-01,West,Mountain
2010,Arizona,6,June,10.3,2010-06-01,West,Mountain
2010,Arizona,5,May,10.4,2010-05-01,West,Mountain
2010,Arizona,4,April,10.6,2010-04-01,West,Mountain
2010,Arizona,3,March,10.7,2010-03-01,West,Mountain
2010,Arizona,2,February,10.8,2010-02-01,West,Mountain
2010,Arizona,1,January,10.9,2010-01-01,West,Mountain
2009,Arizona,12,December,10.9,2009-12-01,West,Mountain
2009,Arizona,11,November,10.9,2009-11-01,West,Mountain
2009,Arizona,10,October,10.8,2009-10-01,West,Mountain
2009,Arizona,9,September,10.6,2009-09-01,West,Mountain
2009,Arizona,8,August,10.4,2009-08-01,West,Mountain
2009,Arizona,7,July,10.2,2009-07-01,West,Mountain
2009,Arizona,6,June,9.9,2009-06-01,West,Mountain
2009,Arizona,5,May,9.7,2009-05-01,West,Mountain
2009,Arizona,4,April,9.4,2009-04-01,West,Mountain
2009,Arizona,3,March,9.1,2009-03-01,West,Mountain
2009,Arizona,2,February,8.8,2009-02-01,West,Mountain
2009,Arizona,1,January,8.4,2009-01-01,West,Mountain
2008,Arizona,12,December,8,2008-12-01,West,Mountain
2008,Arizona,11,November,7.6,2008-11-01,West,Mountain
2008,Arizona,10,October,7.3,2008-10-01,West,Mountain
2008,Arizona,9,September,6.9,2008-09-01,West,Mountain
2008,Arizona,8,August,6.6,2008-08-01,West,Mountain
2008,Arizona,7,July,6.3,2008-07-01,West,Mountain
2008,Arizona,6,June,5.9,2008-06-01,West,Mountain
2008,Arizona,5,May,5.6,2008-05-01,West,Mountain
2008,Arizona,4,April,5.3,2008-04-01,West,Mountain
2008,Arizona,3,March,5,2008-03-01,West,Mountain
2008,Arizona,2,February,4.7,2008-02-01,West,Mountain
2008,Arizona,1,January,4.5,2008-01-01,West,Mountain
2007,Arizona,12,December,4.3,2007-12-01,West,Mountain
2007,Arizona,11,November,4.1,2007-11-01,West,Mountain
2007,Arizona,10,October,3.9,2007-10-01,West,Mountain
2007,Arizona,9,September,3.8,2007-09-01,West,Mountain
2007,Arizona,8,August,3.7,2007-08-01,West,Mountain
2007,Arizona,7,July,3.6,2007-07-01,West,Mountain
2007,Arizona,6,June,3.6,2007-06-01,West,Mountain
2007,Arizona,5,May,3.7,2007-05-01,West,Mountain
2007,Arizona,4,April,3.7,2007-04-01,West,Mountain
2007,Arizona,3,March,3.8,2007-03-01,West,Mountain
2007,Arizona,2,February,3.8,2007-02-01,West,Mountain
2007,Arizona,1,January,3.9,2007-01-01,West,Mountain
2006,Arizona,12,December,3.9,2006-12-01,West,Mountain
2006,Arizona,11,November,4,2006-11-01,West,Mountain
2006,Arizona,10,October,4,2006-10-01,West,Mountain
2006,Arizona,9,September,4.1,2006-09-01,West,Mountain
2006,Arizona,8,August,4.2,2006-08-01,West,Mountain
2006,Arizona,7,July,4.2,2006-07-01,West,Mountain
2006,Arizona,6,June,4.3,2006-06-01,West,Mountain
2006,Arizona,5,May,4.3,2006-05-01,West,Mountain
2006,Arizona,4,April,4.4,2006-04-01,West,Mountain
2006,Arizona,3,March,4.4,2006-03-01,West,Mountain
2006,Arizona,2,February,4.4,2006-02-01,West,Mountain
2006,Arizona,1,January,4.5,2006-01-01,West,Mountain
2016,Arkansas,12,December,3.7,2016-12-01,South,West South Central
2016,Arkansas,11,November,3.8,2016-11-01,South,West South Central
2016,Arkansas,10,October,3.8,2016-10-01,South,West South Central
2016,Arkansas,9,September,3.9,2016-09-01,South,West South Central
2016,Arkansas,8,August,3.9,2016-08-01,South,West South Central
2016,Arkansas,7,July,3.9,2016-07-01,South,West South Central
2016,Arkansas,6,June,4,2016-06-01,South,West South Central
2016,Arkansas,5,May,4,2016-05-01,South,West South Central
2016,Arkansas,4,April,4,2016-04-01,South,West South Central
2016,Arkansas,3,March,4.1,2016-03-01,South,West South Central
2016,Arkansas,2,February,4.1,2016-02-01,South,West South Central
2016,Arkansas,1,January,4.2,2016-01-01,South,West South Central
2015,Arkansas,12,December,4.3,2015-12-01,South,West South Central
2015,Arkansas,11,November,4.4,2015-11-01,South,West South Central
2015,Arkansas,10,October,4.5,2015-10-01,South,West South Central
2015,Arkansas,9,September,4.7,2015-09-01,South,West South Central
2015,Arkansas,8,August,4.8,2015-08-01,South,West South Central
2015,Arkansas,7,July,5,2015-07-01,South,West South Central
2015,Arkansas,6,June,5.2,2015-06-01,South,West South Central
2015,Arkansas,5,May,5.3,2015-05-01,South,West South Central
2015,Arkansas,4,April,5.4,2015-04-01,South,West South Central
2015,Arkansas,3,March,5.5,2015-03-01,South,West South Central
2015,Arkansas,2,February,5.6,2015-02-01,South,West South Central
2015,Arkansas,1,January,5.6,2015-01-01,South,West South Central
2014,Arkansas,12,December,5.6,2014-12-01,South,West South Central
2014,Arkansas,11,November,5.7,2014-11-01,South,West South Central
2014,Arkansas,10,October,5.7,2014-10-01,South,West South Central
2014,Arkansas,9,September,5.8,2014-09-01,South,West South Central
2014,Arkansas,8,August,5.9,2014-08-01,South,West South Central
2014,Arkansas,7,July,5.9,2014-07-01,South,West South Central
2014,Arkansas,6,June,6,2014-06-01,South,West South Central
2014,Arkansas,5,May,6.1,2014-05-01,South,West South Central
2014,Arkansas,4,April,6.2,2014-04-01,South,West South Central
2014,Arkansas,3,March,6.3,2014-03-01,South,West South Central
2014,Arkansas,2,February,6.5,2014-02-01,South,West South Central
2014,Arkansas,1,January,6.6,2014-01-01,South,West South Central
2013,Arkansas,12,December,6.8,2013-12-01,South,West South Central
2013,Arkansas,11,November,6.9,2013-11-01,South,West South Central
2013,Arkansas,10,October,7,2013-10-01,South,West South Central
2013,Arkansas,9,September,7.1,2013-09-01,South,West South Central
2013,Arkansas,8,August,7.2,2013-08-01,South,West South Central
2013,Arkansas,7,July,7.3,2013-07-01,South,West South Central
2013,Arkansas,6,June,7.3,2013-06-01,South,West South Central
2013,Arkansas,5,May,7.4,2013-05-01,South,West South Central
2013,Arkansas,4,April,7.4,2013-04-01,South,West South Central
2013,Arkansas,3,March,7.4,2013-03-01,South,West South Central
2013,Arkansas,2,February,7.4,2013-02-01,South,West South Central
2013,Arkansas,1,January,7.4,2013-01-01,South,West South Central
2012,Arkansas,12,December,7.5,2012-12-01,South,West South Central
2012,Arkansas,11,November,7.5,2012-11-01,South,West South Central
2012,Arkansas,10,October,7.5,2012-10-01,South,West South Central
2012,Arkansas,9,September,7.5,2012-09-01,South,West South Central
2012,Arkansas,8,August,7.6,2012-08-01,South,West South Central
2012,Arkansas,7,July,7.6,2012-07-01,South,West South Central
2012,Arkansas,6,June,7.6,2012-06-01,South,West South Central
2012,Arkansas,5,May,7.6,2012-05-01,South,West South Central
2012,Arkansas,4,April,7.6,2012-04-01,South,West South Central
2012,Arkansas,3,March,7.6,2012-03-01,South,West South Central
2012,Arkansas,2,February,7.6,2012-02-01,South,West South Central
2012,Arkansas,1,January,7.7,2012-01-01,South,West South Central
2011,Arkansas,12,December,7.8,2011-12-01,South,West South Central
2011,Arkansas,11,November,7.9,2011-11-01,South,West South Central
2011,Arkansas,10,October,8,2011-10-01,South,West South Central
2011,Arkansas,9,September,8.2,2011-09-01,South,West South Central
2011,Arkansas,8,August,8.3,2011-08-01,South,West South Central
2011,Arkansas,7,July,8.4,2011-07-01,South,West South Central
2011,Arkansas,6,June,8.4,2011-06-01,South,West South Central
2011,Arkansas,5,May,8.5,2011-05-01,South,West South Central
2011,Arkansas,4,April,8.5,2011-04-01,South,West South Central
2011,Arkansas,3,March,8.5,2011-03-01,South,West South Central
2011,Arkansas,2,February,8.5,2011-02-01,South,West South Central
