"ADDRESS","BOROUGH","BIN","CD","CATEGORY","SUBCATEGORIES","JOB NUMBERS"
"451 EAST 159TH STREET","Bronx","2129139","203","Affordable Housing","","All jobs for this BIN are approved"
"4511 3RD AVENUE","Bronx","2128231","206","Affordable Housing","","All jobs for this BIN are approved"
"4697 3RD AVENUE","Bronx","2129313","206","Affordable Housing","","All jobs for this BIN are approved"
"481 EAST 164TH STREET","Bronx","2825058","203","Affordable Housing","","All jobs for this BIN are approved"
"50 EAST 168 STREET","Bronx","2101464","204","Affordable Housing","","All jobs for this BIN are approved"
"545 EAST  166 STREET","Bronx","2129288","203","Affordable Housing","","All jobs for this BIN are approved"
"555 NEREID AVENUE","Bronx","2070559","212","Affordable Housing","","All jobs for this BIN are approved"
"556 BERGEN AVENUE","Bronx","2129056","201","Affordable Housing","","All jobs for this BIN are approved"
"569 PROSPECT AVE","Bronx","2128955","201","Affordable Housing","","All jobs for this BIN are approved"
"570 EAST 137TH STREET","Bronx","2128429","201","Affordable Housing","","All jobs for this BIN are approved"
"600 BERGEN AVENUE","Bronx","2127129","201","Affordable Housing","","All jobs for this BIN are approved"
"600 EAST 156TH STREET","Bronx","2129154","201","Affordable Housing","","All jobs for this BIN are approved"
"600 EAST 179 STREET","Bronx","2129261","206","Affordable Housing","","All jobs for this BIN are approved"
"603 JACKSON AVENUE","Bronx","2091322","201","Affordable Housing","","All jobs for this BIN are approved"
"63 EAST 233RD STREET","Bronx","2018800","212","Affordable Housing","","All jobs for this BIN are approved"
"69 E 233 ST","Bronx","2018798","212","Affordable Housing","","All jobs for this BIN are approved"
"695 THWAITES PLACE","Bronx","2050004","211","Affordable Housing","","All jobs for this BIN are approved"
"700 MANIDA STREET","Bronx","2128935","202","Affordable Housing","","All jobs for this BIN are approved"
"702 GRAND CONCOURSE","Bronx","2129467","204","Affordable Housing","","All jobs for this BIN are approved"
"707 CONCOURSE VILLAGE WEST","Bronx","2833311","204","Affordable Housing","","All jobs for this BIN are approved"
"720 TIFFANY STREET","Bronx","2130390","202","Affordable Housing","","All jobs for this BIN are approved"
"775 CROTONA PARK NORTH","Bronx","2128766","206","Affordable Housing","","All jobs for this BIN are approved"
"801 EAST 181 STREET","Bronx","2129395","206","Affordable Housing","","All jobs for this BIN are approved"
"810 RIVER AVE","Bronx","2129246","204","Affordable Housing","","All jobs for this BIN are approved"
"839 TILDEN STREET","Bronx","2129466","212","Affordable Housing","","All jobs for this BIN are approved"
"880 EAST 147TH STREET","Bronx","2004081","201","Affordable Housing","","All jobs for this BIN are approved"
"902 JENNINGS STREET","Bronx","2088309","203","Affordable Housing","","All jobs for this BIN are approved"
"909 BECK ST.","Bronx","2128391","202","Affordable Housing","","All jobs for this BIN are approved"
"909 EAST TREMONT AVENUE","BRONX","2013117","206","Affordable Housing","","All jobs for this BIN are approved"
"917 WESTCHESTER AVENUE","Bronx","2005371","202","Affordable Housing","","All jobs for this BIN are approved"
"972 WASHINGTON AVENUE","Bronx","2001224","203","Affordable Housing","","All jobs for this BIN are approved"
"975 TIFFANY STREET","Bronx","2092008","202","Affordable Housing","","All jobs for this BIN are approved"
"975 TIFFANY STREET","Bronx","2129167","202","Affordable Housing","","All jobs for this BIN are approved"
"985 BRUCKNER BOULEVARD","Bronx","2129171","202","Affordable Housing","","All jobs for this BIN are approved"
"988 EAST 180TH STREET","Bronx","2128733","206","Affordable Housing","","All jobs for this BIN are approved"
"1 BLUE SLIP","Brooklyn","3418101","301","Affordable Housing","","All jobs for this BIN are approved"
"1 CLINTON STREET","Brooklyn","3421378","302","Affordable Housing","","All jobs for this BIN are approved"
"1 FLATBUSH AVENUE","Brooklyn","3424472","302","Affordable Housing","","All jobs for this BIN are approved"
"10 HURON STREET","Brooklyn","3422087","301","Affordable Housing","","All jobs for this BIN are approved"
"10 SCHROEDERS WALK","BROOKLYN","3424763","305","Affordable Housing","","All jobs for this BIN are approved"
"1056 MANHATTAN AVENUE","Brooklyn","3428568","301","Affordable Housing","","All jobs for this BIN are approved"
"1079 EAST 34 STREET","BROOKLYN","3206474","318","Affordable Housing","","All jobs for this BIN are approved"
"108 DOWNING STREET","Brooklyn","3426850","302","Affordable Housing","","All jobs for this BIN are approved"
"1089 PRESIDENT STREET","Brooklyn","3033161","309","Affordable Housing","","All jobs for this BIN are approved"
"110 DINSMORE PLACE","Brooklyn","3426244","305","Affordable Housing","","All jobs for this BIN are approved"
"1104 BEDFORD AVENUE","Brooklyn","3425776","303","Affordable Housing","","All jobs for this BIN are approved"
"1111 ASHFORD STREET","Brooklyn","3421909","305","Affordable Housing","","All jobs for this BIN are approved"
"1113 ASHFORD STREET","Brooklyn","3421924","305","Affordable Housing","","All jobs for this BIN are approved"
"1115 ASHFORD STREET","Brooklyn","3421923","305","Affordable Housing","","All jobs for this BIN are approved"
"1117 ASHFORD STREET","Brooklyn","3421922","305","Affordable Housing","","All jobs for this BIN are approved"
"1119 ASHFORD STREET","Brooklyn","3421921","305","Affordable Housing","","All jobs for this BIN are approved"
"112 ST EDWARDS STREET","Brooklyn","3424494","302","Affordable Housing","","All jobs for this BIN are approved"
"1121 ASHFORD STREET","Brooklyn","3421920","305","Affordable Housing","","All jobs for this BIN are approved"
"1123 ASHFORD STREET","Brooklyn","3421919","305","Affordable Housing","","All jobs for this BIN are approved"
"1134 FULTON ST","Brooklyn","3057751","303","Affordable Housing","","All jobs for this BIN are approved"
"11629 SEAVIEW AVENUE","Brooklyn","3421879","305","Affordable Housing","","All jobs for this BIN are approved"
"12 ECKFORD ST","Brooklyn","3425854","301","Affordable Housing","","All jobs for this BIN are approved"
"1216 PACIFIC STREET","Brooklyn","3029989","308","Affordable Housing","","All jobs for this BIN are approved"
"123 MELROSE STREET","Brooklyn","3426367","304","Affordable Housing","","All jobs for this BIN are approved"
"125 BORINQUEN PLACE","Brooklyn","3425954","301","Affordable Housing","","All jobs for this BIN are approved"
"126 SACKMAN STREET","Brooklyn","3038661","316","Affordable Housing","","All jobs for this BIN are approved"
"127 GATEWAY DRIVE","Brooklyn","3421885","305","Affordable Housing","","All jobs for this BIN are approved"
"129 GATEWAY DRIVE","Brooklyn","3421884","305","Affordable Housing","","All jobs for this BIN are approved"
"1336 BEDFORD AVENUE","Brooklyn","3425093","308","Affordable Housing","","All jobs for this BIN are approved"
"1350 BEDFORD AVENUE","Brooklyn","3029966","308","Affordable Housing","","All jobs for this BIN are approved"
"1355 ROGERS AVENUE","Brooklyn","3328301","314","Affordable Housing","","All jobs for this BIN are approved"
"1389 GATES AVENUE","BROOKLYN","3342119","304","Affordable Housing","","All jobs for this BIN are approved"
"144 WEST STREET","Brooklyn","3830946","301","Affordable Housing","","All jobs for this BIN are approved"
"146 PIERREPONT STREET","Brooklyn","3424482","302","Affordable Housing","","All jobs for this BIN are approved"
"1488 NEW YORK AVENUE","Brooklyn","3336201","317","Affordable Housing","","All jobs for this BIN are approved"
"150 BAYARD ST","Brooklyn","3426087","301","Affordable Housing","","All jobs for this BIN are approved"
"1535 BEDFORD AVENUE","Brooklyn","3425089","308","Affordable Housing","","All jobs for this BIN are approved"
"1620 FULTON ST","Brooklyn","3426584","303","Affordable Housing","","All jobs for this BIN are approved"
"1633 SAINT MARKS AVENUE","Brooklyn","3855970","316","Affordable Housing","","All jobs for this BIN are approved"
"165 PARK AVE","Brooklyn","3058003","302","Affordable Housing","","All jobs for this BIN are approved"
"169 LIVONIA AVENUE","Brooklyn","3326498","316","Affordable Housing","","All jobs for this BIN are approved"
"1745 LINDEN BOULEVARD","Brooklyn","3085948","305","Affordable Housing","","All jobs for this BIN are approved"
"178 HALSEY STREET","Brooklyn","3322633","303","Affordable Housing","","All jobs for this BIN are approved"
"18 SIXTH AVENUE","Brooklyn","3426300","302","Affordable Housing","","All jobs for this BIN are approved"
"180 NEW LOTS AVENUE","Brooklyn","3421816","305","Affordable Housing","","All jobs for this BIN are approved"
"1864 EASTERN PARKWAY","Brooklyn","3337899","316","Affordable Housing","","All jobs for this BIN are approved"
"19 INDIA STREET","Brooklyn","3426061","301","Affordable Housing","","All jobs for this BIN are approved"
"1900 PARK PLACE","Brooklyn","3421943","316","Affordable Housing","","All jobs for this BIN are approved"
"191 WOODBINE STREET","Brooklyn","3326175","304","Affordable Housing","","All jobs for this BIN are approved"
"1915 BERGEN STREET","Brooklyn","3833650","316","Affordable Housing","","All jobs for this BIN are approved"
"1921 CORTELYOU ROAD","Brooklyn","3118533","314","Affordable Housing","","All jobs for this BIN are approved"
"2006 SURF AVENUE","Brooklyn","3424222","313","Affordable Housing","","All jobs for this BIN are approved"
"21 MALTA STREET","Brooklyn","3421400","305","Affordable Housing","","All jobs for this BIN are approved"
"211 MCGUINNESS BOULEVARD","BROOKLYN","3379800","301","Affordable Housing","","All jobs for this BIN are approved"
"214 HEGEMAN AVENUE","Brooklyn","3424614","316","Affordable Housing","","All jobs for this BIN are approved"
"215 LIVONIA AVENUE","Brooklyn","3345333","316","Affordable Housing","","All jobs for this BIN are approved"
"215 NORTH 10TH STREET","Brooklyn","3329934","301","Affordable Housing","","All jobs for this BIN are approved"
"2164 DEAN STREET","Brooklyn","3810678","316","Affordable Housing","","All jobs for this BIN are approved"
"2178 DEAN STREET","Brooklyn","3836272","316","Affordable Housing","","All jobs for this BIN are approved"
"220 HULL STREET","Brooklyn","3426301","316","Affordable Housing","","All jobs for this BIN are approved"
"221 WEST STREET","Brooklyn","3426511","301","Affordable Housing","","All jobs for this BIN are approved"
"243 HANCOCK ST.","Brooklyn","3052406","303","Affordable Housing","","All jobs for this BIN are approved"
"2437 PITKIN AVENUE","Brooklyn","3319656","305","Affordable Housing","","All jobs for this BIN are approved"
"2570 FULTON STREET","BROOKLYN","3083249","305","Affordable Housing","","All jobs for this BIN are approved"
"2618 FULTON STREET","BROOKLYN","3083272","305","Affordable Housing","","All jobs for this BIN are approved"
"266 KENT AVE","Brooklyn","3425049","301","Affordable Housing","","All jobs for this BIN are approved"
"273 MOTHER GASTON BOULEVARD","Brooklyn","3083600","316","Affordable Housing","","All jobs for this BIN are approved"
"277 SOUTH 5TH STREET","Brooklyn","3323539","301","Affordable Housing","","All jobs for this BIN are approved"
"281 MOTHER GASTON BOULEVARD","Brooklyn","3828001","316","Affordable Housing","","All jobs for this BIN are approved"
"285 HINSDALE STREET","Brooklyn","3818661","305","Affordable Housing","","All jobs for this BIN are approved"
"285 SCHERMERHORN STREET","Brooklyn","3000519","302","Affordable Housing","","All jobs for this BIN are approved"
"2858 LINDEN BLVD","Brooklyn","3425088","305","Affordable Housing","","All jobs for this BIN are approved"
"287 HINSDALE STREET","Brooklyn","3818663","305","Affordable Housing","","All jobs for this BIN are approved"
"289 HINSDALE STREET","Brooklyn","3252578","305","Affordable Housing","","All jobs for this BIN are approved"
"29 WEST STREET","Brooklyn","3425624","301","Affordable Housing","","All jobs for this BIN are approved"
"291 HINSDALE STREET","Brooklyn","3818666","305","Affordable Housing","","All jobs for this BIN are approved"
"2926 WEST 19TH STREET","Brooklyn","3426189","313","Affordable Housing","","All jobs for this BIN are approved"
"296 WHYTE AV","Brooklyn","3062567","301","Affordable Housing","","All jobs for this BIN are approved"
"299 MOTHER GASTON BOULEVARD","Brooklyn","3844843","316","Affordable Housing","","All jobs for this BIN are approved"
"30 KENT STREET","Brooklyn","3336994","301","Affordable Housing","","All jobs for this BIN are approved"
"3003 WEST 21 STREET","Brooklyn","3423863","313","Affordable Housing","","All jobs for this BIN are approved"
"308 LIVINGSTON STREET","Brooklyn","3000507","302","Affordable Housing","","All jobs for this BIN are approved"
"314 TROUTMAN STREET","Brooklyn","3072556","304","Affordable Housing","","All jobs for this BIN are approved"
"315 LINWOOD STREET","Brooklyn","3425163","305","Affordable Housing","","All jobs for this BIN are approved"
"33 BOND STREET","BROOKLYN","3422112","302","Affordable Housing","","All jobs for this BIN are approved"
"330 WILSON AVENUE","Brooklyn","3076116","304","Affordable Housing","","All jobs for this BIN are approved"
"343 RALPH AVE","Brooklyn","3825231","303","Affordable Housing","","All jobs for this BIN are approved"
"346 BERGEN STREET","Brooklyn","3806286","302","Affordable Housing","","All jobs for this BIN are approved"
"350 CLARKSON AVENUE","Brooklyn","3426069","317","Affordable Housing","","All jobs for this BIN are approved"
"37 6TH AVENUE","Brooklyn","3800502","308","Affordable Housing","","All jobs for this BIN are approved"
"38 CHRISTOPHER AVENUE","Brooklyn","3808795","316","Affordable Housing","","All jobs for this BIN are approved"
"389 SCHROEDERS AVENUE","Brooklyn","3421892","305","Affordable Housing","","All jobs for this BIN are approved"
"392 SCHROEDERS AVENUE","Brooklyn","3421886","305","Affordable Housing","","All jobs for this BIN are approved"
"396 SCHROEDERS AVENUE","Brooklyn","3421887","305","Affordable Housing","","All jobs for this BIN are approved"
"398 SCHROEDERS AVENUE","Brooklyn","3421888","305","Affordable Housing","","All jobs for this BIN are approved"
"40 DEBEVOISE STREET","Brooklyn","3395434","301","Affordable Housing","","All jobs for this BIN are approved"
"400 SCHROEDERS AVENUE","Brooklyn","3421889","305","Affordable Housing","","All jobs for this BIN are approved"
"401 SCHROEDERS AVENUE","Brooklyn","3421891","305","Affordable Housing","","All jobs for this BIN are approved"
"402 SCHROEDERS AVENUE","Brooklyn","3421890","305","Affordable Housing","","All jobs for this BIN are approved"
"405 DUMONT AVE","Brooklyn","3424502","316","Affordable Housing","","All jobs for this BIN are approved"
"41 BLUE SLIP","Brooklyn","3418262","301","Affordable Housing","","All jobs for this BIN are approved"
"414 63RD STREET","Brooklyn","3144060","307","Affordable Housing","","All jobs for this BIN are approved"
"416 THOMAS S. BOYLAND STREET","Brooklyn","3421942","316","Affordable Housing","","All jobs for this BIN are approved"
"445 GRAND AVENUE","BROOKLYN","3816863","302","Affordable Housing","","All jobs for this BIN are approved"
"449 CHESTER STREET","Brooklyn","3808712","316","Affordable Housing","","All jobs for this BIN are approved"
"453 HINSDALE STREET","Brooklyn","3421372","305","Affordable Housing","","All jobs for this BIN are approved"
"463 LIVONIA AVENUE","Brooklyn","3421386","305","Affordable Housing","","All jobs for this BIN are approved"
"487 LIVONIA AVENUE","Brooklyn","3346238","305","Affordable Housing","","All jobs for this BIN are approved"
"498 SCHROEDERS AVENUE","Brooklyn","3421904","305","Affordable Housing","","All jobs for this BIN are approved"
"50 BRIDGE PARK DRIVE","Brooklyn","3858777","302","Affordable Housing","","All jobs for this BIN are approved"
"50 NEVINS STREET","Brooklyn","3000556","302","Affordable Housing","","All jobs for this BIN are approved"
"50 PENNSYLVANIA AVE","Brooklyn","3428706","305","Affordable Housing","","All jobs for this BIN are approved"
"500 LIVONIA AVENUE","BROOKLYN","3421374","305","Affordable Housing","","All jobs for this BIN are approved"
"500 SCHROEDERS AVENUE","Brooklyn","3421905","305","Affordable Housing","","All jobs for this BIN are approved"
"502 SCHROEDERS AVENUE","Brooklyn","3421906","305","Affordable Housing","","All jobs for this BIN are approved"
"504 SCHROEDERS AVENUE","Brooklyn","3421907","305","Affordable Housing","","All jobs for this BIN are approved"
"5108 4TH AVENUE","Brooklyn","3013507","307","Affordable Housing","","All jobs for this BIN are approved"
"516 SCHROEDERS AVENUE","Brooklyn","3421908","305","Affordable Housing","","All jobs for this BIN are approved"
"540 FULTON STREET","Brooklyn","3424477","302","Affordable Housing","","All jobs for this BIN are approved"
"541 4 AVENUE","Brooklyn","3425443","307","Affordable Housing","","All jobs for this BIN are approved"
"56 AINSLIE STREET","Brooklyn","3062539","301","Affordable Housing","","All jobs for this BIN are approved"
"580 CENTRAL AVENUE","Brooklyn","3326292","304","Affordable Housing","","All jobs for this BIN are approved"
"586 LINWOOD STREET","Brooklyn","3848437","305","Affordable Housing","","All jobs for this BIN are approved"
"586 WARWICK STREET","Brooklyn","3421801","305","Affordable Housing","","All jobs for this BIN are approved"
"588 WARWICK STREET","Brooklyn","3421802","305","Affordable Housing","","All jobs for this BIN are approved"
"594 BUSHWICK AVENUE","Brooklyn","3072011","304","Affordable Housing","","All jobs for this BIN are approved"
"617 CLEVELAND STREET","Brooklyn","3843933","305","Affordable Housing","","All jobs for this BIN are approved"
"625 DRIGGS AVENUE","Brooklyn","3811206","301","Affordable Housing","","All jobs for this BIN are approved"
"6307 4 AVENUE","BROOKLYN","3334218","307","Affordable Housing","","All jobs for this BIN are approved"
"64 SCHOLES STREET","Brooklyn","3426365","301","Affordable Housing","","All jobs for this BIN are approved"
"642 HINSDALE STREET","Brooklyn","3818761","305","Affordable Housing","","All jobs for this BIN are approved"
"645 GATES AVENUE","Brooklyn","3341860","303","Affordable Housing","","All jobs for this BIN are approved"
"650 ALABAMA AVENUE","Brooklyn","3804153","305","Affordable Housing","","All jobs for this BIN are approved"
"653 HINSDALE STREET","Brooklyn","3085955","305","Affordable Housing","","All jobs for this BIN are approved"
"655 HINSDALE STREET","Brooklyn","3818766","305","Affordable Housing","","All jobs for this BIN are approved"
"658 DRIGGS AVENUE","Brooklyn","3424751","301","Affordable Housing","","All jobs for this BIN are approved"
"666 SNEDIKER AVENUE","Brooklyn","3342538","305","Affordable Housing","","All jobs for this BIN are approved"
"668 SNEDIKER AVENUE","Brooklyn","3428515","305","Affordable Housing","","All jobs for this BIN are approved"
"668 VERMONT STREET","Brooklyn","3421406","305","Affordable Housing","","All jobs for this BIN are approved"
"671 LINWOOD STREET","Brooklyn","3319689","305","Affordable Housing","","All jobs for this BIN are approved"
"672 POWELL STREET","Brooklyn","3085896","316","Affordable Housing","","All jobs for this BIN are approved"
"679 VAN SINDEREN AVENUE","Brooklyn","3829837","305","Affordable Housing","","All jobs for this BIN are approved"
"7 LIVONIA AVENUE","Brooklyn","3426172","3","Affordable Housing","","All jobs for this BIN are approved"
"702 VANDALIA AVENUE","Brooklyn","3424571","305","Affordable Housing","","All jobs for this BIN are approved"
"74 LOTT ST","Brooklyn","3117703","317","Affordable Housing","","All jobs for this BIN are approved"
"777 GLENMORE AVENUE","BROOKLYN","3088714","305","Affordable Housing","","All jobs for this BIN are approved"
"794 MIDWOOD STREET","BROOKLYN","3340603","309","Affordable Housing","","All jobs for this BIN are approved"
"800 FLATBUSH AVENUE","Brooklyn","3397264","314","Affordable Housing","","All jobs for this BIN are approved"
"806 BLAKE AVENUE","Brooklyn","3089994","305","Affordable Housing","","All jobs for this BIN are approved"
"810 FULTON STREET","Brooklyn","3426518","302","Affordable Housing","","All jobs for this BIN are approved"
"820 GLENMORE AVENUE","Brooklyn","3426568","305","Affordable Housing","","All jobs for this BIN are approved"
"825 BEDFORD AVE","Brooklyn","3048430","303","Affordable Housing","","All jobs for this BIN are approved"
"840 WASHINGTON AVE","Brooklyn","3029544","308","Affordable Housing","","All jobs for this BIN are approved"
"846 BLAKE AVENUE","Brooklyn","3424499","305","Affordable Housing","","All jobs for this BIN are approved"
"848 BLAKE AVENUE","Brooklyn","3424498","305","Affordable Housing","","All jobs for this BIN are approved"
"85 COMMERCIAL STREET","Brooklyn","3063675","301","Affordable Housing","","All jobs for this BIN are approved"
"85 PALMETTO STREET","Brooklyn","3076429","304","Affordable Housing","","All jobs for this BIN are approved"
"869 MYRTLE AVE","Brooklyn","3426037","303","Affordable Housing","","All jobs for this BIN are approved"
"874 WILLOUGHBY AVENUE","Brooklyn","3423327","303","Affordable Housing","","All jobs for this BIN are approved"
"875 FOURTH AVENUE","Brooklyn","3010094","307","Affordable Housing","","All jobs for this BIN are approved"
"881 ERSKINE STREET","Brooklyn","3424570","305","Affordable Housing","","All jobs for this BIN are approved"
"894 FOUNTAIN AVENUE","Brooklyn","3425799","305","Affordable Housing","","All jobs for this BIN are approved"
"909 ATLANTIC AVENUE","Brooklyn","3425745","302","Affordable Housing","","All jobs for this BIN are approved"
"911 ERSKINE STREET","Brooklyn","3421880","305","Affordable Housing","","All jobs for this BIN are approved"
"948 MYRTLE AVE","Brooklyn","3425801","303","Affordable Housing","","All jobs for this BIN are approved"
"96 NEW LOTS AVENUE","Brooklyn","3327047","316","Affordable Housing","","All jobs for this BIN are approved"
"975 LIBERTY AVENUE","Brooklyn","3855064","305","Affordable Housing","","All jobs for this BIN are approved"
"980 DUMONT AVENUE","Brooklyn","3252950","305","Affordable Housing","","All jobs for this BIN are approved"
"1 WEST END AVENUE","Manhattan","1088869","107","Affordable Housing","","All jobs for this BIN are approved"
"10 RIVERSIDE BOULEVARD","Manhattan","1089741","107","Affordable Housing","","All jobs for this BIN are approved"
"101 MORNINGSIDE AVENUE","Manhattan","1090673","109","Affordable Housing","","All jobs for this BIN are approved"
"102 CHARLTON STREET","Manhattan","1090693","102","Affordable Housing","","All jobs for this BIN are approved"
"107 WEST 105TH STREET","Manhattan","1055933","107","Affordable Housing","","All jobs for this BIN are approved"
"11 WEST 118TH STREET","Manhattan","1090710","110","Affordable Housing","","All jobs for this BIN are approved"
"118 W 139 STREET","Manhattan","1060040","110","Affordable Housing","","All jobs for this BIN are approved"
"120 W 139 STREET","Manhattan","1060041","110","Affordable Housing","","All jobs for this BIN are approved"
"121 WEST 125 STREET","MANHATTAN","1088122","110","Affordable Housing","","All jobs for this BIN are approved"
"122 W 139 STREET","Manhattan","1060042","110","Affordable Housing","","All jobs for this BIN are approved"
"123 WEST 112 STREET","MANHATTAN","1054981","110","Affordable Housing","","All jobs for this BIN are approved"
"127 WEST 43 STREET","Manhattan","1022613","105","Affordable Housing","","All jobs for this BIN are approved"
"128 EAST 112 STREET","Manhattan","1052223","111","Affordable Housing","","All jobs for this BIN are approved"
"135 WEST 132 STREET","MANHATTAN","1058151","110","Affordable Housing","","All jobs for this BIN are approved"
"140 ESSEX STREET","Manhattan","1090736","103","Affordable Housing","","All jobs for this BIN are approved"
"1402 YORK AVENUE","MANHATTAN","1046294","108","Affordable Housing","","All jobs for this BIN are approved"
"145 WEST 108TH STREET","Manhattan","1090749","107","Affordable Housing","","All jobs for this BIN are approved"
"1465 PARK AVENUE","Manhattan","1090142","111","Affordable Housing","","All jobs for this BIN are approved"
"149 WEST 132 STREET","MANHATTAN","1058147","110","Affordable Housing","","All jobs for this BIN are approved"
"152 EAST 116 STREET","Manhattan","1052261","111","Affordable Housing","","All jobs for this BIN are approved"
"180 BROOME STREET","Manhattan","1089891","103","Affordable Housing","","All jobs for this BIN are approved"
"185 BROADWAY","Manhattan","1801235","101","Affordable Housing","State Approved","All jobs for this BIN are approved"
"1912 FIRST AVENUE","Manhattan","1090675","111","Affordable Housing","","All jobs for this BIN are approved"
"201 EAST 125 STREET","Manhattan","1054682","111","Affordable Housing","","All jobs for this BIN are approved"
"203 WEST 113TH STREET","Manhattan","1055156","110","Affordable Housing","","All jobs for this BIN are approved"
"204 AVENUE A","MANHATTAN","1005201","103","Affordable Housing","","All jobs for this BIN are approved"
"21 ARDEN STREET","Manhattan","1064203","112","Affordable Housing","","All jobs for this BIN are approved"
"211 WEST 28TH STREET","Manhattan","1014260","105","Affordable Housing","","All jobs for this BIN are approved"
"211 WEST 29TH STREET","Manhattan","1090716","105","Affordable Housing","","All jobs for this BIN are approved"
"2110 AMSTERDAM AVENUE","Manhattan","1062896","112","Affordable Housing","","All jobs for this BIN are approved"
"212 WEST 124 STREET","MANHATTAN","1079509","110","Affordable Housing","","All jobs for this BIN are approved"
"2185 AMSTERDAM AVENUE","Manhattan","1062675","112","Affordable Housing","","All jobs for this BIN are approved"
